ViolationPrecinct,datetime_rnd,counts,counts_hat
0,2017-06-23 00:00:00,0,0.0503438570226858
0,2017-06-23 00:15:00,0,0.0507106429914343
0,2017-06-23 00:30:00,0,0.050849155075317
0,2017-06-23 00:45:00,0,0.0512594548204196
0,2017-06-23 01:00:00,0,0.143344604708841
0,2017-06-23 01:15:00,0,0.148674175690394
0,2017-06-23 01:30:00,0,0.154921655204076
0,2017-06-23 01:45:00,0,0.163229477866295
0,2017-06-23 02:00:00,0,0.0929483577140196
0,2017-06-23 02:15:00,0,0.08925588979313
0,2017-06-23 02:30:00,0,0.0884256572900917
0,2017-06-23 02:45:00,0,0.0874886372702059
0,2017-06-23 03:00:00,0,0.0977429078844626
0,2017-06-23 03:15:00,0,0.0980932159841363
0,2017-06-23 03:30:00,0,0.0982227227757828
0,2017-06-23 03:45:00,0,0.0981072337479585
0,2017-06-23 04:00:00,0,0.0463343930243726
0,2017-06-23 04:15:00,0,0.0454009887577764
0,2017-06-23 04:30:00,0,0.0450661157978214
0,2017-06-23 04:45:00,0,0.044659896529858
0,2017-06-23 05:00:00,0,0.0299399657695667
0,2017-06-23 05:15:00,0,0.0297623228647624
0,2017-06-23 05:30:00,0,0.0296984310294901
0,2017-06-23 05:45:00,0,0.0296162401868113
0,2017-06-23 06:00:00,0,0.0217618174133704
0,2017-06-23 06:15:00,0,0.0216939867400462
0,2017-06-23 06:30:00,0,0.0216700145560282
0,2017-06-23 06:45:00,0,0.0216923825807408
0,2017-06-23 07:00:00,0,0.0636180912731244
0,2017-06-23 07:15:00,0,0.0646768048084025
0,2017-06-23 07:30:00,0,0.0650746049879081
0,2017-06-23 07:45:00,0,0.0658174900133172
0,2017-06-23 08:00:00,0,0.150149315770538
0,2017-06-23 08:15:00,0,0.155276465646232
0,2017-06-23 08:30:00,0,0.157421744098604
0,2017-06-23 08:45:00,0,0.159930878611412
0,2017-06-23 09:00:00,0,0.186583316890618
0,2017-06-23 09:15:00,0,0.196077327010397
0,2017-06-23 09:30:00,0,0.188111951352705
0,2017-06-23 09:45:00,0,0.186110002245698
0,2017-06-23 10:00:00,0,0.224699760018493
0,2017-06-23 10:15:00,0,0.227950083429641
0,2017-06-23 10:30:00,0,0.229273616334203
0,2017-06-23 10:45:00,0,0.230012233228699
0,2017-06-23 11:00:00,0,0.163599574287163
0,2017-06-23 11:15:00,0,0.159435089730751
0,2017-06-23 11:30:00,0,0.157761524006873
0,2017-06-23 11:45:00,0,0.155949095271808
0,2017-06-23 12:00:00,0,0.154208340725956
