datetime_rnd,ViolationCounty,ViolationPrecinct,lon,lat,counts,dow,hour,month,minute,counts_hat
2017-06-22 15:00:00,NY,30,-73.96567486946162,40.78961452137953,4.0,3,15,6,0,2.769830659536542
2017-06-22 15:15:00,NY,30,-73.96567486946162,40.78961452137953,12.0,3,15,6,15,2.769830659536542
2017-06-22 15:30:00,NY,30,-73.96567486946162,40.78961452137953,4.0,3,15,6,30,2.769830659536542
2017-06-22 15:45:00,NY,30,-73.96567486946162,40.78961452137953,3.0,3,15,6,45,2.769830659536542
2017-06-22 16:00:00,NY,30,-73.96567486946162,40.78961452137953,1.0,3,16,6,0,2.495320855614973
2017-06-22 16:15:00,NY,30,-73.96567486946162,40.78961452137953,2.0,3,16,6,15,2.495320855614973
2017-06-22 16:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,16,6,30,2.495320855614973
2017-06-22 16:45:00,NY,30,-73.96567486946162,40.78961452137953,1.0,3,16,6,45,2.495320855614973
2017-06-22 17:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,17,6,0,2.778520499108734
2017-06-22 17:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,17,6,15,2.778520499108734
2017-06-22 17:30:00,NY,30,-73.96567486946162,40.78961452137953,3.0,3,17,6,30,2.778520499108734
2017-06-22 17:45:00,NY,30,-73.96567486946162,40.78961452137953,3.0,3,17,6,45,2.778520499108734
2017-06-22 18:00:00,NY,30,-73.96567486946162,40.78961452137953,1.0,3,18,6,0,2.19674688057041
2017-06-22 18:15:00,NY,30,-73.96567486946162,40.78961452137953,3.0,3,18,6,15,2.19674688057041
2017-06-22 18:30:00,NY,30,-73.96567486946162,40.78961452137953,2.0,3,18,6,30,2.19674688057041
2017-06-22 18:45:00,NY,30,-73.96567486946162,40.78961452137953,1.0,3,18,6,45,2.19674688057041
2017-06-22 19:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,19,6,0,0.533868092691622
2017-06-22 19:15:00,NY,30,-73.96567486946162,40.78961452137953,5.0,3,19,6,15,0.533868092691622
2017-06-22 19:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,19,6,30,0.533868092691622
2017-06-22 19:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,19,6,45,0.533868092691622
2017-06-22 20:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,20,6,0,1.0282976827094474
2017-06-22 20:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,20,6,15,1.0282976827094474
2017-06-22 20:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,20,6,30,1.0282976827094474
2017-06-22 20:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,20,6,45,1.0282976827094474
2017-06-22 21:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,21,6,0,1.0822192513368984
2017-06-22 21:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,21,6,15,1.0822192513368984
2017-06-22 21:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,21,6,30,1.0822192513368984
2017-06-22 21:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,21,6,45,1.0822192513368984
2017-06-22 22:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,22,6,0,0.6147504456327986
2017-06-22 22:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,22,6,15,0.6147504456327986
2017-06-22 22:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,22,6,30,0.6147504456327986
2017-06-22 22:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,22,6,45,0.6147504456327986
2017-06-22 23:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,23,6,0,0.4333778966131907
2017-06-22 23:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,23,6,15,0.4333778966131907
2017-06-22 23:30:00,NY,30,-73.96567486946162,40.78961452137953,3.0,3,23,6,30,0.4333778966131907
2017-06-22 23:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,3,23,6,45,0.4333778966131907
2017-06-23 00:00:00,NY,30,-73.96567486946162,40.78961452137953,1.0,4,0,6,0,0.6483957219251337
2017-06-23 00:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,0,6,15,0.6483957219251337
2017-06-23 00:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,0,6,30,0.6483957219251337
2017-06-23 00:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,0,6,45,0.6483957219251337
2017-06-23 01:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,1,6,0,0.4946524064171123
2017-06-23 01:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,1,6,15,0.4946524064171123
2017-06-23 01:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,1,6,30,0.4946524064171123
2017-06-23 01:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,1,6,45,0.4946524064171123
2017-06-23 02:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,2,6,0,0.3959447415329768
2017-06-23 02:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,2,6,15,0.3959447415329768
2017-06-23 02:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,2,6,30,0.3959447415329768
2017-06-23 02:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,2,6,45,0.3959447415329768
2017-06-23 03:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,3,6,0,0.30793226381461675
2017-06-23 03:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,3,6,15,0.30793226381461675
2017-06-23 03:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,3,6,30,0.30793226381461675
2017-06-23 03:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,3,6,45,0.30793226381461675
2017-06-23 04:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,4,6,0,0.1321301247771836
2017-06-23 04:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,4,6,15,0.1321301247771836
2017-06-23 04:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,4,6,30,0.1321301247771836
2017-06-23 04:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,4,6,45,0.1321301247771836
2017-06-23 05:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,5,6,0,0.32085561497326204
2017-06-23 05:15:00,NY,30,-73.96567486946162,40.78961452137953,1.0,4,5,6,15,0.32085561497326204
2017-06-23 05:30:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,5,6,30,0.32085561497326204
2017-06-23 05:45:00,NY,30,-73.96567486946162,40.78961452137953,1.0,4,5,6,45,0.32085561497326204
2017-06-23 06:00:00,NY,30,-73.96567486946162,40.78961452137953,7.0,4,6,6,0,1.7335115864527628
2017-06-23 06:15:00,NY,30,-73.96567486946162,40.78961452137953,5.0,4,6,6,15,1.7335115864527628
2017-06-23 06:30:00,NY,30,-73.96567486946162,40.78961452137953,4.0,4,6,6,30,1.7335115864527628
2017-06-23 06:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,6,6,45,1.7335115864527628
2017-06-23 07:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,7,6,0,2.34982174688057
2017-06-23 07:15:00,NY,30,-73.96567486946162,40.78961452137953,3.0,4,7,6,15,2.34982174688057
2017-06-23 07:30:00,NY,30,-73.96567486946162,40.78961452137953,1.0,4,7,6,30,2.34982174688057
2017-06-23 07:45:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,7,6,45,2.34982174688057
2017-06-23 08:00:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,8,6,0,2.5646167557932262
2017-06-23 08:15:00,NY,30,-73.96567486946162,40.78961452137953,0.0,4,8,6,15,2.5646167557932262
2017-06-23 08:30:00,NY,30,-73.96567486946162,40.78961452137953,6.0,4,8,6,30,2.5646167557932262
